nombre,calle,direccion_completa,ciudad,localidad,codigo_postal,tipos,telefono,pagina_web,horarios
Museo de Artes y Costumbres Populares de Sevilla,"Plaza América, 3","Pl. América, 3, 41013 Sevilla, España",Sevilla,N/A,41013,"tourist_attraction, museum, point_of_interest, establishment",+34 955 03 53 25,https://www.museosdeandalucia.es/web/museodeartesycostumbrespopularesdesevilla,lunes: Cerrado; martes: 9:00–21:00; miércoles: 9:00–21:00; jueves: 9:00–21:00; viernes: 9:00–21:00; sábado: 9:00–21:00; domingo: 9:00–15:00
Museo del Baile Flamenco,"Calle Manuel Rojas Marcos, 3","C. Manuel Rojas Marcos, 3, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"tourist_attraction, museum, store, point_of_interest, establishment",+34 954 34 03 11,https://tickets.museodelbaileflamenco.com/,lunes: 11:00–18:00; martes: 11:00–18:00; miércoles: 11:00–18:00; jueves: 11:00–18:00; viernes: 11:00–18:00; sábado: 11:00–18:00; domingo: 11:00–18:00
Palacio de la Condesa de Lebrija,"Calle Cuna, 8","C. Cuna, 8, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"museum, tourist_attraction, point_of_interest, establishment",+34 954 22 78 02,http://www.palaciodelebrija.com/,lunes: 10:00–15:00; martes: 10:00–15:00; miércoles: 10:00–15:00; jueves: 10:00–15:00; viernes: 10:00–15:00; sábado: 10:00–15:00; domingo: 10:00–15:00
Museo de las Ilusiones Sevilla,"Calle San Eloy, 28","C. San Eloy, 28, Casco Antiguo, 41001 Sevilla, España",Sevilla,Casco Antiguo,41001,"museum, point_of_interest, establishment",+34 955 66 98 39,http://moisevilla.es/,lunes: 10:00–22:00; martes: 10:00–22:00; miércoles: 10:00–22:00; jueves: 10:00–22:00; viernes: 10:00–22:00; sábado: 10:00–22:00; domingo: 10:00–21:00
Centro Andaluz de Arte Contemporáneo,"Calle Américo Vespucio, 2","Calle Américo Vespucio, 2, 41092 Sevilla, España",Sevilla,N/A,41092,"tourist_attraction, museum, point_of_interest, establishment",+34 955 03 70 70,http://www.caac.es/,lunes: Cerrado; martes: 11:00–21:00; miércoles: 11:00–21:00; jueves: 11:00–21:00; viernes: 11:00–21:00; sábado: 11:00–21:00; domingo: 10:00–15:30
Centro Cerámica Triana,"Calle Callao, 16","C. Callao, 16, 41010 Sevilla, España",Sevilla,N/A,41010,"tourist_attraction, museum, point_of_interest, establishment",+34 955 47 42 93,https://www.visitasevilla.es/mas-lugares-de-interes/centro-ceramica-triana,lunes: Cerrado; martes: 10:00–19:00; miércoles: 10:00–19:00; jueves: 10:00–19:00; viernes: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–19:00
Museo Naval de Torre del Oro,"Paseo de Cristóbal Colón, s/n","Torre del Oro, P.º de Cristóbal Colón, s/n, Casco Antiguo, 41001 Sevilla, España",Sevilla,Casco Antiguo,41001,"tourist_attraction, museum, point_of_interest, establishment",+34 954 22 24 19,https://www.fundacionmuseonaval.com/museonavalsevilla.html,lunes: 9:30–18:45; martes: 9:30–18:45; miércoles: 9:30–18:45; jueves: 9:30–18:45; viernes: 9:30–18:45; sábado: 10:30–18:45; domingo: 10:30–18:45
Palacio de Las Dueñas,"Calle Dueñas, 5","C. Dueñas, 5, Casco Antiguo, 41003 Sevilla, España",Sevilla,Casco Antiguo,41003,"park, museum, point_of_interest, establishment",+34 954 21 48 28,https://www.lasduenas.es/,lunes: 10:00–19:00; martes: 10:00–19:00; miércoles: 10:00–19:00; jueves: 10:00–19:00; viernes: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–19:00
Pabellón de la Navegación,"Camino de los Descubrimientos, 2","Camino de los Descubrimientos, 2, 41092 Sevilla, España",Sevilla,N/A,41092,"museum, point_of_interest, establishment",+34 954 04 31 11,http://www.pabellondelanavegacion.com/,lunes: Cerrado; martes: 10:00–15:00; miércoles: 10:00–15:00; jueves: 10:00–15:00; viernes: 10:00–15:00; sábado: 10:00–15:00; domingo: 10:00–15:00
Casa de Murillo,"Calle Santa Teresa, 8","C. Sta. Teresa, 8, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"tourist_attraction, museum, point_of_interest, establishment",N/A,http://www.museosdeandalucia.es/cultura/museos/MBASE/,lunes: Cerrado; martes: Cerrado; miércoles: 10:00–20:00; jueves: 10:00–20:00; viernes: 10:00–20:00; sábado: 10:00–20:00; domingo: 10:00–18:00
